Size,Variables,Beta,Rank,Diagonal,Density,Positive,Seed,Method,Sol,Time,Iterations 
30,1740,0.1,100,0.1,0.5,false,45123,21,21.813032051720626,155514,1891
30,1740,0.1,100,0.1,0.5,false,45123,31,21.813031970509684,69881,1647
30,1740,0.1,100,0.1,0.5,false,51234,11,20.938173471446103,92683,48
30,1740,0.1,100,0.1,0.5,false,51234,21,20.93817347577901,297448,2200
30,1740,0.1,100,0.1,0.5,false,51234,31,20.93817308559746,64163,1847
30,1740,0.1,100,0.1,1.0,false,12345,11,20.2647419427187,94262,48
30,1740,0.1,100,0.1,1.0,false,12345,21,20.26474194221695,197825,2023
30,1740,0.1,100,0.1,1.0,false,12345,31,20.26474126209371,74573,2042
30,1740,0.1,100,0.1,1.0,false,23451,11,21.941528750205094,88505,44
30,1740,0.1,100,0.1,1.0,false,23451,21,21.941528753386873,187781,2248
30,1740,0.1,100,0.1,1.0,false,23451,31,21.941528327059324,67441,1886
30,1740,0.1,100,0.1,1.0,false,34512,11,20.384685329573514,45674,21
30,1740,0.1,100,0.1,1.0,false,34512,21,20.38468542371171,104761,2054
30,1740,0.1,100,0.1,1.0,false,34512,31,20.384684754722365,64781,2013
30,1740,0.1,100,0.1,1.0,false,45123,11,22.814871848747217,81373,40
30,1740,0.1,100,0.1,1.0,false,45123,21,22.814871841492973,171022,2073
30,1740,0.1,100,0.1,1.0,false,45123,31,22.814870653423416,70772,1958
30,1740,0.1,100,0.1,1.0,false,51234,11,21.519761003787572,76763,38
30,1740,0.1,100,0.1,1.0,false,51234,21,21.5197610048405,163857,2122
30,1740,0.1,100,0.1,1.0,false,51234,31,21.51975980709303,66242,2079
30,1740,0.1,100,0.5,0.05,false,12345,11,17.857061121423076,64751,33
30,1740,0.1,100,0.5,0.05,false,12345,21,17.85705941512358,145178,1529
30,1740,0.1,100,0.5,0.05,false,12345,31,17.85706004972161,61140,950
30,1740,0.1,100,0.5,0.05,false,23451,11,19.44311538308193,43863,21
30,1740,0.1,100,0.5,0.05,false,23451,21,19.443115376759863,103651,1704
30,1740,0.1,100,0.5,0.05,false,23451,31,19.443113446071358,53941,856
30,1740,0.1,100,0.5,0.05,false,34512,11,18.238126002384753,38322,17
30,1740,0.1,100,0.5,0.05,false,34512,21,18.238125998483607,91256,1428
30,1740,0.1,100,0.5,0.05,false,34512,31,18.23812574511664,63277,940
30,1740,0.1,100,0.5,0.05,false,45123,11,19.014657906188038,35680,18
30,1740,0.1,100,0.5,0.05,false,45123,21,19.0146580058561,84174,1380
30,1740,0.1,100,0.5,0.05,false,45123,31,19.014657552937273,59090,921
30,1740,0.1,100,0.5,0.05,false,51234,11,19.39057690112491,47534,23
