Size,Variables,Beta,Seed,Q,Abs,Method,Sol,Time,Iterations 
30,1740,0.5,34512,-4,false,8,5779.162942985693,28539,3620
30,1740,0.5,34512,-4,true,0,5779.553743040296,59558,20
30,1740,0.5,34512,-4,true,2,5779.55348207676,132688,21
30,1740,0.5,34512,-4,true,4,5779.553481440459,1920,738
30,1740,0.5,34512,-4,true,6,5779.553481440457,888,804
30,1740,0.5,34512,-4,true,8,5779.553481440457,34685,3581
30,1740,0.5,34512,-3,false,0,20954.906813199632,83010,23
30,1740,0.5,34512,-3,false,2,20954.90631384836,152347,22
30,1740,0.5,34512,-3,false,4,20954.90700403172,84451,534
30,1740,0.5,34512,-3,false,6,20954.906309874048,6408,713
30,1740,0.5,34512,-3,false,8,20954.95123809125,42363,3647
30,1740,0.5,34512,-3,true,0,20955.877426551742,82269,23
30,1740,0.5,34512,-3,true,2,20955.8767962687,151412,22
30,1740,0.5,34512,-3,true,4,20955.87752920397,75336,534
30,1740,0.5,34512,-3,true,6,20955.8767933374,4916,713
30,1740,0.5,34512,-3,true,8,20955.91893095894,34867,3697
30,1740,0.5,34512,-2,false,0,48594.07797712451,45425,18
30,1740,0.5,34512,-2,false,2,48594.076536179266,100174,21
30,1740,0.5,34512,-2,false,4,48594.076518994494,2530,593
30,1740,0.5,34512,-2,false,6,48594.07651899451,5544,788
30,1740,0.5,34512,-2,false,8,48594.07651899451,40661,3710
30,1740,0.5,34512,-2,true,0,48595.39689356779,63593,18
30,1740,0.5,34512,-2,true,2,48595.39654502697,119913,22
30,1740,0.5,34512,-2,true,4,48595.39653578718,2662,593
30,1740,0.5,34512,-2,true,6,48595.39653578719,6224,788
30,1740,0.5,34512,-2,true,8,48595.39653578719,37027,3716
30,1740,0.5,34512,-1,false,0,16.194415031934337,422,43
30,1740,0.5,34512,-1,false,2,16.19441425538999,600,44
30,1740,0.5,34512,-1,false,4,16.194415031511188,390,814
30,1740,0.5,34512,-1,false,6,16.194428692172256,120,798
30,1740,0.5,34512,-1,false,8,16.194427988730762,482,3199
30,1740,0.5,34512,-1,true,0,16.194415031934337,400,43
30,1740,0.5,34512,-1,true,2,16.19441425538999,630,44
30,1740,0.5,34512,-1,true,4,16.194415031511188,372,814
30,1740,0.5,34512,-1,true,6,16.194428692172256,150,798
30,1740,0.5,34512,-1,true,8,16.194427988730762,490,3199
30,1740,0.5,45123,-5,false,0,1004.7281347619987,51017,22
30,1740,0.5,45123,-5,false,2,1004.7281017324163,114431,25
30,1740,0.5,45123,-5,false,4,1004.7281091146252,63543,602
30,1740,0.5,45123,-5,false,6,1004.728101021109,890,597
30,1740,0.5,45123,-5,false,8,1004.7393170879642,8435,3169
30,1740,0.5,45123,-5,true,0,1004.8929240871707,73577,21
30,1740,0.5,45123,-5,true,2,1004.8928999571655,182584,32
30,1740,0.5,45123,-5,true,4,1004.892910790315,56705,602
30,1740,0.5,45123,-5,true,6,1004.8928998673206,630,597
30,1740,0.5,45123,-5,true,8,1004.9032902959009,5243,3046
30,1740,0.5,45123,-4,false,0,5022.450500305742,68532,21
30,1740,0.5,45123,-4,false,2,5022.450380110036,182544,34
30,1740,0.5,45123,-4,false,4,5022.45062360083,61780,574
30,1740,0.5,45123,-4,false,6,5022.450376973204,910,648
30,1740,0.5,45123,-4,false,8,5022.848520231714,26301,3442
30,1740,0.5,45123,-4,true,0,5022.86702580133,60070,20
30,1740,0.5,45123,-4,true,2,5022.8668164445435,184226,35
30,1740,0.5,45123,-4,true,4,5022.867026600717,60323,574
30,1740,0.5,45123,-4,true,6,5022.866813588053,912,648
30,1740,0.5,45123,-4,true,8,5023.213631025863,24549,3465
30,1740,0.5,45123,-3,false,0,25433.936702300824,56039,17
30,1740,0.5,45123,-3,false,2,25433.935954358927,168199,28
30,1740,0.5,45123,-3,false,4,25433.936426127453,60607,666
30,1740,0.5,45123,-3,false,6,25433.935939830313,5988,752
30,1740,0.5,45123,-3,false,8,25434.335170352406,27308,3578
30,1740,0.5,45123,-3,true,0,25434.947854503916,66354,21
30,1740,0.5,45123,-3,true,2,25434.946808286422,175712,28
30,1740,0.5,45123,-3,true,4,25434.94752187147,71440,666
